SiteName,ADelay_1,ADelay_2,ADelay_3,ADelay_4,tPhase_1,tPhase_2,tPhase_3,tPhase_4,movFlow_1,movFlow_2,movFlow_3,movFlow_4,movFlow_5,movFlow_6,movFlow_7,movFlow_8,movFlow_9,movFlow_10,movFlow_11,movFlow_12,GTMov_1,GTMov_2,GTMov_3,GTMov_4,GTMov_5,GTMov_6,GTMov_7,GTMov_8,GTMov_9,GTMov_10,GTMov_11,GTMov_12,GTMovProp_1,GTMovProp_2,GTMovProp_3,GTMovProp_4,GTMovProp_5,GTMovProp_6,GTMovProp_7,GTMovProp_8,GTMovProp_9,GTMovProp_10,GTMovProp_11,GTMovProp_12,appFlow_1,appFlow_2,appFlow_3,appFlow_4,GTApp_1,GTApp_2,GTApp_3,GTApp_4,GTAppProp_1,GTAppProp_2,GTAppProp_3,GTAppProp_4
withoutShortLanes,28.337941176470583,40.487857142857145,27.364222222222224,38.75866666666666,14,30,6,6,108.0,945.0,171.0,18.0,99.0,9.0,252.00000000000003,729.0,234.0,27.0,72.0,36.0,30,30,14,6,6,6,30,30,14,6,6,6,0.375,0.375,0.175,0.075,0.075,0.075,0.375,0.375,0.175,0.075,0.075,0.075,1224.0,126.0,1215.0,135.0,44,12,44,12,0.55,0.15,0.55,0.15
withoutShortLanes,26.40801724137931,38.35785714285714,28.859027777777776,60.79055555555556,13,31,6,6,234.0,576.0,234.0,9.0,90.0,27.0,135.0,1008.0,153.0,36.0,90.0,36.0,31,31,13,6,6,6,31,31,13,6,6,6,0.3875,0.3875,0.1625,0.075,0.075,0.075,0.3875,0.3875,0.1625,0.075,0.075,0.075,1044.0,126.0,1296.0,162.0,44,12,44,12,0.55,0.15,0.55,0.15
withoutShortLanes,32.62298913043478,72.09869565217392,33.77662162162164,39.11,19,32,6,9,40.0,1104.0,328.0,32.0,136.0,16.0,152.0,816.0,216.0,40.0,128.0,16.0,32,32,19,9,9,6,32,32,19,9,9,6,0.35555555555555557,0.35555555555555557,0.2111111111111111,0.1,0.1,0.06666666666666667,0.35555555555555557,0.35555555555555557,0.2111111111111111,0.1,0.1,0.06666666666666667,1472.0,184.0,1184.0,184.0,51,15,51,15,0.5666666666666667,0.16666666666666666,0.5666666666666667,0.16666666666666666
withoutShortLanes,34.744646464646465,42.46941176470588,32.74125603864734,69.395,21,42,6,7,86.4,1008.0,331.2,7.2,93.6,21.6,72.0,1288.8,129.6,7.2,115.2,21.6,42,42,21,7,7,6,42,42,21,7,7,6,0.42,0.42,0.21,0.07,0.07,0.06,0.42,0.42,0.21,0.07,0.07,0.06,1425.6000000000001,122.4,1490.3999999999999,144.0,63,13,63,13,0.63,0.13,0.63,0.13
withoutShortLanes,61.777846607669645,74.53696078431372,62.14437853107345,59.35835443037976,29,56,6,35,201.6,1147.2,278.40000000000003,105.6,321.6,62.4,129.6,1233.6,336.0,28.8,307.2,43.2,56,56,29,35,35,6,56,56,29,35,35,6,0.37333333333333335,0.37333333333333335,0.19333333333333333,0.23333333333333334,0.23333333333333334,0.04,0.37333333333333335,0.37333333333333335,0.19333333333333333,0.23333333333333334,0.23333333333333334,0.04,1627.2,489.6,1699.1999999999998,379.2,85,41,85,41,0.5666666666666667,0.2733333333333333,0.5666666666666667,0.2733333333333333
withoutShortLanes,67.13766666666668,72.7759793814433,54.51416918429002,83.23604938271603,28,57,10,31,225.6,1161.6,196.8,100.8,249.6,115.2,115.2,1152.0,321.6,24.0,355.2,9.6,57,57,28,31,31,10,57,57,28,31,31,10,0.38,0.38,0.18666666666666668,0.20666666666666667,0.20666666666666667,0.06666666666666667,0.38,0.38,0.18666666666666668,0.20666666666666667,0.20666666666666667,0.06666666666666667,1583.9999999999998,465.59999999999997,1588.8000000000002,388.8,85,41,85,41,0.5666666666666667,0.2733333333333333,0.5666666666666667,0.2733333333333333
withoutShortLanes,30.13492424242424,39.41357142857144,26.573769230769237,40.35875,12,31,6,7,270.0,873.0,45.0,27.0,81.0,18.0,99.0,846.0,225.0,9.0,126.0,9.0,31,31,12,7,7,6,31,31,12,7,7,6,0.3875,0.3875,0.15,0.0875,0.0875,0.075,0.3875,0.3875,0.15,0.0875,0.0875,0.075,1188.0,126.0,1170.0,144.0,43,13,43,13,0.5375,0.1625,0.5375,0.1625
withoutShortLanes,28.665723684210523,46.994666666666674,26.10101694915255,57.15705882352941,11,31,6,8,153.0,1008.0,207.0,9.0,117.0,9.0,261.0,639.0,162.0,36.0,108.0,9.0,31,31,11,8,8,6,31,31,11,8,8,6,0.3875,0.3875,0.1375,0.1,0.1,0.075,0.3875,0.3875,0.1375,0.1,0.1,0.075,1368.0,135.0,1062.0,153.0,42,14,42,14,0.525,0.175,0.525,0.175
withoutShortLanes,28.894039735099337,56.88533333333333,29.45394557823129,73.60315789473684,13,31,6,6,288.0,801.0,270.0,18.0,90.0,27.0,279.0,963.0,81.0,9.0,135.0,27.0,31,31,13,6,6,6,31,31,13,6,6,6,0.3875,0.3875,0.1625,0.075,0.075,0.075,0.3875,0.3875,0.1625,0.075,0.075,0.075,1359.0,135.0,1323.0,171.0,44,12,44,12,0.55,0.15,0.55,0.15
withoutShortLanes,33.523715846994534,47.05571428571429,33.323774509803926,50.17529411764707,21,41,6,8,172.8,1101.6,43.2,36.0,86.4,28.8,194.4,964.8,309.6,7.2,100.8,14.4,41,41,21,8,8,6,41,41,21,8,8,6,0.41,0.41,0.21,0.08,0.08,0.06,0.41,0.41,0.21,0.08,0.08,0.06,1317.6,151.20000000000002,1468.8000000000002,122.4,62,14,62,14,0.62,0.14,0.62,0.14
